timestamp_iso,timestamp_bkk,category,candidate,rank,vote_percentage
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.2
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.6
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.7
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-series,เสน่หาวาโย,1,46.2
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-series,ด้วงกับเธอ Duang With You Series,2,40.8
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-series,คุณแฟนบ้านนอก Hometown Romance,3,10.8
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-series,เขมจิราต้องรอด,4,1.5
2026-09-08T23:54:56.090361+07:00,2026-09-08 23:54:56,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,1,40.3
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,2,40.1
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.7
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.8
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.7
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-series,เสน่หาวาโย,1,45.9
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-series,ด้วงกับเธอ Duang With You Series,2,38.0
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.0
